Time [s],V [mV]
14.45,1744.868
14.46666667,1598.2405
14.48333333,1529.8143
14.5,1402.737
14.51666667,1192.5709
14.53333333,928.6413
14.55,654.9365
14.56666667,425.2199
14.58333333,249.2669
14.6,136.8524
14.61666667,78.2014
14.63333333,63.5386
14.65,68.4262
14.66666667,68.4262
14.68333333,68.4262
14.7,78.2014
14.71666667,83.089
14.73333333,97.7517
14.75,117.3021
14.76666667,136.8524
14.78333333,171.0655
14.8,190.6158
14.81666667,200.391
14.83333333,205.2786
14.85,205.2786
14.86666667,190.6158
14.88333333,161.2903
14.9,131.9648
14.91666667,107.5269
14.93333333,92.8641
14.95,78.2014
14.96666667,78.2014
14.98333333,83.089
15,97.7517
15.01666667,102.6393
15.03333333,112.4145
15.05,127.0772
15.06666667,141.74
15.08333333,156.4027
15.1,175.9531
15.11666667,185.7283
15.13333333,190.6158
15.15,190.6158
15.16666667,219.9413
15.18333333,273.7048
15.2,312.8055
15.21666667,351.9062
15.23333333,381.2317
15.25,410.5572
15.26666667,522.9717
15.28333333,698.9247
15.3,909.0909
15.31666667,1089.9316
15.33333333,1085.044
15.35,982.4047
15.36666667,840.6647
15.38333333,826.002
15.4,913.9785
15.41666667,1075.2688
15.43333333,1260.9971
15.45,1417.3998
15.46666667,1539.5894
15.48333333,1617.7908
15.5,1661.7791
15.51666667,1686.217
15.53333333,1739.9804
15.55,1759.5308
15.56666667,1578.6901
15.58333333,1246.3343
15.6,879.7654
15.61666667,552.2972
15.63333333,317.6931
15.65,161.2903
15.66666667,73.3138
15.68333333,68.4262
15.7,68.4262
15.71666667,68.4262
15.73333333,68.4262
15.75,68.4262
15.76666667,68.4262
15.78333333,68.4262
15.8,63.5386
15.81666667,68.4262
15.83333333,68.4262
15.85,97.7517
15.86666667,205.2786
15.88333333,327.4682
15.9,400.782
15.91666667,434.9951
15.93333333,454.5455
15.95,478.9834
15.96666667,498.5337
15.98333333,508.3089
16,508.3089
16.01666667,522.9717
16.03333333,557.1848
16.05,615.8358
16.06666667,703.8123
16.08333333,782.0137
16.1,830.8895
16.11666667,894.4282
16.13333333,977.5171
16.15,1075.2688
16.16666667,1163.2454
16.18333333,1251.2219
16.2,1329.4233
16.21666667,1388.0743
16.23333333,1407.6246
16.25,1422.2874
16.26666667,1451.6129
16.28333333,1432.0626
16.3,1402.737
16.31666667,1392.9619
16.33333333,1402.737
16.35,1476.0508
16.36666667,1529.8143
16.38333333,1505.3763
16.4,1446.7253
16.41666667,1383.1867
16.43333333,1334.3109
16.45,1285.435
16.46666667,1236.5591
16.48333333,1217.0088
16.5,1260.9971
16.51666667,1373.4115
16.53333333,1500.4888
16.55,1603.1281
16.56666667,1676.4418
16.58333333,1671.5543
16.6,1612.9032
16.61666667,1627.566
16.63333333,1661.7791
16.65,1617.7908
16.66666667,1456.5005
16.68333333,1177.9081
16.7,860.2151
16.71666667,566.9599
16.73333333,337.2434
16.75,185.7283
16.76666667,92.8641
16.78333333,68.4262
16.8,63.5386
16.81666667,73.3138
16.83333333,68.4262
16.85,68.4262
16.86666667,68.4262
16.88333333,68.4262
16.9,68.4262
16.91666667,73.3138
16.93333333,73.3138
16.95,83.089
16.96666667,97.7517
16.98333333,131.9648
17,156.4027
17.01666667,180.8407
17.03333333,195.5034
17.05,205.2786
17.06666667,210.1662
17.08333333,224.8289
17.1,244.3793
17.11666667,259.042
17.13333333,298.1427
17.15,332.3558
17.16666667,361.6813
17.18333333,405.6696
17.2,454.5455
17.21666667,542.522
17.23333333,586.5103
17.25,615.8358
17.26666667,645.1613
17.28333333,708.6999
17.3,777.1261
17.31666667,845.5523
17.33333333,904.2033
17.35,967.7419
17.36666667,1055.7185
17.38333333,1114.3695
17.4,1133.9198
17.41666667,1138.8074
17.43333333,1153.4702
17.45,1187.6833
17.46666667,1246.3343
17.48333333,1309.8729
17.5,1373.4115
17.51666667,1436.9501
17.53333333,1490.7136
17.55,1505.3763
17.56666667,1495.6012
17.58333333,1476.0508
17.6,1456.5005
17.61666667,1446.7253
17.63333333,1480.9384
17.65,1559.1398
