Time [s],V [mV],,,
9.35,117.3021,,,
9.366666667,107.5269,,,
9.383333333,97.7517,,,
9.4,92.8641,,,
9.416666667,92.8641,,,
9.433333333,92.8641,,,
9.45,92.8641,,,
9.466666667,92.8641,,,
9.483333333,92.8641,,,
9.5,92.8641,,,
9.516666667,97.7517,,,
9.533333333,92.8641,,,
9.55,97.7517,,,
9.566666667,97.7517,,,
9.583333333,97.7517,,,
9.6,92.8641,,,
9.616666667,97.7517,,,
9.633333333,97.7517,,,
9.65,97.7517,,,
9.666666667,97.7517,,,
9.683333333,97.7517,,,
9.7,102.6393,,,
9.716666667,97.7517,,,
9.733333333,97.7517,,,
9.75,117.3021,,,
9.766666667,141.74,,,
9.783333333,195.5034,,,
9.8,303.0303,,,
9.816666667,430.1075,,,
9.833333333,576.7351,,,
9.85,718.4751,,,
9.866666667,865.1026,,,
9.883333333,1021.5054,,,
9.9,1197.4585,,,
9.916666667,1392.9619,,,
9.933333333,1578.6901,,,
9.95,1749.7556,,,
9.966666667,1906.1584,,,
9.983333333,2047.8983,,,
10,2170.088,,,
10.01666667,2297.1652,,,
10.03333333,2463.3431,,,
10.05,2644.1838,,,
10.06666667,2839.6872,,,
10.08333333,3030.303,,,
10.1,3245.3568,,,
10.11666667,3479.9609,,,
10.13333333,3641.2512,,,
10.15,3465.2981,,,
10.16666667,2732.1603,,,
10.18333333,1793.7439,,,
10.2,1182.7957,,,
10.21666667,786.9013,,,
10.23333333,537.6344,,,
10.25,376.3441,,,
10.26666667,273.7048,,,
10.28333333,210.1662,,,
10.3,166.1779,,,
10.31666667,136.8524,,,
10.33333333,122.1896,,,
10.35,112.4145,,,
10.36666667,102.6393,,,
10.38333333,102.6393,,,
10.4,97.7517,,,
10.41666667,97.7517,,,
10.43333333,97.7517,,,
10.45,97.7517,,,
10.46666667,97.7517,,,
10.48333333,102.6393,,,
10.5,97.7517,,,
10.51666667,92.8641,,,
10.53333333,97.7517,,,
10.55,97.7517,,,
10.56666667,97.7517,,,
10.58333333,97.7517,,,
10.6,97.7517,,,
10.61666667,97.7517,,,
10.63333333,102.6393,,,
10.65,102.6393,,,
10.66666667,117.3021,,,
10.68333333,151.5152,,,
10.7,303.0303,,,
10.71666667,522.9717,,,
10.73333333,718.4751,,,
10.75,904.2033,,,
10.76666667,1089.9316,,,
10.78333333,1265.8847,,,
10.8,1436.9501,,,
10.81666667,1622.6784,,,
10.83333333,1818.1818,,,
10.85,1994.1349,,,
